"GG Langtext","DST Langtext","Förderprogramm","Postleitzahl","Ausbezahlte Fördersumme","Anzahl der Förderfälle","jahr"
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1120",2890.11,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1170",1900,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1150",2700,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1120",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1020",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1170",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1170",5000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1090",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1160",5000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1100",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1100",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1100",5000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1190",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1210",1278.85,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1020",2960,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1020",5000,1,2024
