GG Langtext;DST Langtext;Förderprogramm;Postleitzahl;Ausbezahlte Fördersumme;Anzahl der Förderfälle
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1060;1414;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1140;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1220;556;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1110;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1020;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1160;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1030;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1386,6;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1030;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1030;682,2;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1120;270;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;180;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1030;717,2;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1030;1270,7;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1230;254,2;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1120;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1230;470,4;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1210;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1030;1048;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1190;1061,2;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1190;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1200;340;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;334;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1190;870,6;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1020;1187,4;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1020;489;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1210;468,6;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1140;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1210;942,8;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1050;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1110;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1190;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1220;157,7;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1412,4;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1110;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1220;1122,3;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1220;1086,1;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1210;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1080;939,8;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1220;842,4;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1210;600;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1210;454,4;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1030;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1060;1315;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1210;1394,3;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1230;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1120;402,8;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1248,6;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1050;587,1;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1070;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1220;1261;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1080;518,2;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1080;757;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1220;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1210;1125;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1120;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1020;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1230;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1220;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1020;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1110;850,6;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1190;186;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1210;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1220;728,6;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1200;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;450;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1120;1431;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1200;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1230;1488,5;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1220;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1140;1133,5;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1110;915;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1210;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1300;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1230;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1120;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1220;1450;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1190;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1210;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1230;1460,4;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1130;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1020;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1220;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1230;535;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1230;503,4;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1150;477,6;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1120;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1220;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1200;1250;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1020;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1110;624;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1030;1200;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1200;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1210;1408,7;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1344;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1130;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1110;1000;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1110;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1110;628,4;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;810;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1190;780,5;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1020;1484,5;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1200;1385;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1120;471;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1110;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1030;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1230;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1190;720;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1190;845;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1200;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1020;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1220;1290,6;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1020;900;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1230;945,5;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1150;1435,1;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1220;949,5;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1220;820,7;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1030;1350;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1110;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1210;1450,1;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1200;1066,8;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1120;1419,6;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1180;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1230;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1110;702;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1190;849,8;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1110;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1100;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1110;1500;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1090;835,2;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1030;1122;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1220;932;1
Wohnen, Wohnbau, Stadterneuerung und Frauen;Wohnbauförderung und Schlichtungsstelle für wohnrechtliche Angelegenheiten;Montage eines Sonnenschutzes in Wohnungen;1190;1094,5;1
